SKILL_ID,SKILL_NAME,NORMALIZED_NAME,CONTENT_AREA_NAME,GRADE_LEVEL_NAME,GRADE_NUM,SKILL_AREA_NAME,EQUIVALENCE_TYPE,EQUIVALENCE_GROUP_ID,PREREQUISITE_SKILL_IDS,COMPLEXITY_LEVEL,AUTHORITIES
87fa3477-355a-4470-8a98-863f0bda5d08,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on seventh-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on seventh-grade reading",English Language Arts,Grade 7,7.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,7daf5e82-46d1-44bf-8d6b-fc5fb56e7eb2,7,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|VA|WI|WV
2c991a8c-e671-4b83-af2a-6f3169d575a9,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on eighth-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on eighth-grade reading",English Language Arts,Grade 8,8.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,87fa3477-355a-4470-8a98-863f0bda5d08,8,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|VA|WI|WV
6fbac51a-a39f-e311-9503-005056801da1,Relate a number-line model to a basic addition fact,relate a number-line model to a basic addition fact,Mathematics,Grade 1,1.0,Whole Numbers: Addition and Subtraction,grade-progression,0701a5d7-d1a5-4255-94fa-b5ded111caf3,,1,AB|MN|OK|REN
74bac51a-a39f-e311-9503-005056801da1,Relate a number-line model to a basic subtraction fact,relate a number-line model to a basic subtraction fact,Mathematics,Grade 1,1.0,Whole Numbers: Addition and Subtraction,grade-progression,0701a5d7-d1a5-4255-94fa-b5ded111caf3,6fbac51a-a39f-e311-9503-005056801da1,2,AB|FL|MN|OK|REN
3441c225-3800-e411-9e54-005056801da1,"Use different techniques to aid understanding and to locate information in a text quickly and accurately (e.g., skimming, scanning, and close reading)",different techniques to aid understanding and to locate information in a text quickly and accurately,English Language Arts,Grade 4,4.0,Research Strategies,grade-progression,0731c51a-4a48-4bab-851b-36a8be1c0e18,,1,AB|CO|ENC|GA|MN
3241c225-3800-e411-9e54-005056801da1,"Use different techniques to aid understanding and to locate information in a text confidently and efficiently (e.g., skimming, scanning, and close reading)",different techniques to aid understanding and to locate information in a text confidently and efficiently,English Language Arts,Grade 5,5.0,Research Strategies,grade-progression,0731c51a-4a48-4bab-851b-36a8be1c0e18,3441c225-3800-e411-9e54-005056801da1,2,AB|ENC|GA|MN|ND|VA
3341c225-3800-e411-9e54-005056801da1,"Use different techniques to aid understanding and to locate information in a text confidently and efficiently (e.g., skimming, scanning, and close reading), selecting the most relevant information","different techniques to aid understanding and to locate information in a text confidently and efficiently, selecting the most relevant information",English Language Arts,Grade 6,6.0,Research Strategies,grade-progression,0731c51a-4a48-4bab-851b-36a8be1c0e18,3241c225-3800-e411-9e54-005056801da1,3,AB|ENC|GA
b72fe7ed-efbc-45e3-a60e-25c05fb904f3,Use estimation to assess reasonableness of results in an integer addition or subtraction problem,estimation to assess reasonableness of results in an integer addition or subtraction problem,Mathematics,Grade 6,6.0,Positive and Negative Rational Numbers,grade-progression,0744f52e-5d62-4794-a580-60dcd3eddb32,,1,OK
2b48bfa8-f921-4113-8d71-059561dc593c,Use estimation to assess reasonableness of results in an integer multiplication or division problem,estimation to assess reasonableness of results in an integer multiplication or division problem,Mathematics,Grade 7,7.0,Positive and Negative Rational Numbers,grade-progression,0744f52e-5d62-4794-a580-60dcd3eddb32,b72fe7ed-efbc-45e3-a60e-25c05fb904f3,2,OK
0110f61e-e69f-e311-9503-005056801da1,Read on-level texts aloud at the estimated oral reading fluency (ORF) to meet third-grade benchmarks,read on-level texts aloud at the estimated oral reading fluency to meet third-grade benchmarks,English Language Arts,Grade 3,3.0,Reading Rate and Fluency,grade-progression,083b4b11-b989-4fdc-a6dc-6cd323419a76,,1,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|REN|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
0510f61e-e69f-e311-9503-005056801da1,Read on-level texts aloud at the estimated oral reading fluency (ORF) to meet fourth-grade benchmarks,read on-level texts aloud at the estimated oral reading fluency to meet fourth-grade benchmarks,English Language Arts,Grade 4,4.0,Reading Rate and Fluency,grade-progression,083b4b11-b989-4fdc-a6dc-6cd323419a76,0110f61e-e69f-e311-9503-005056801da1,2,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|REN|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
0910f61e-e69f-e311-9503-005056801da1,Read on-level texts aloud at the estimated oral reading fluency (ORF) to meet fifth-grade benchmarks,read on-level texts aloud at the estimated oral reading fluency to meet fifth-grade benchmarks,English Language Arts,Grade 5,5.0,Reading Rate and Fluency,grade-progression,083b4b11-b989-4fdc-a6dc-6cd323419a76,0510f61e-e69f-e311-9503-005056801da1,3,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|REN|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
9e2870c3-da67-4882-a384-106563137fea,"Ask literal, interpretive, and, with support, evaluative questions of text","ask literal, interpretive, and, with support, evaluative questions of text",English Language Arts,Grade 3,3.0,Inference and Evidence,grade-progression,08595e24-5ac5-45d2-8cfb-e496cf81c261,,1,AB|AR|ENC|IA|KY|ND|NE|OK|SC|TX|VA|WI
668c511a-564e-4f0b-9aeb-d4ca631f749b,"Ask literal, interpretive, and evaluative questions of text","ask literal, interpretive, and evaluative questions of text",English Language Arts,Grade 4,4.0,Inference and Evidence,grade-progression,08595e24-5ac5-45d2-8cfb-e496cf81c261,9e2870c3-da67-4882-a384-106563137fea,2,AB|AR|ENC|MN|NE|OK|PDLTEK|REN|SC|TX|VA|WI
ea4a77d2-a871-4a74-99d1-8a29c2fd75d5,"Ask literal, interpretive, evaluative, and, with support, universal questions of text","ask literal, interpretive, evaluative, and, with support, universal questions of text",English Language Arts,Grade 5,5.0,Inference and Evidence,grade-progression,08595e24-5ac5-45d2-8cfb-e496cf81c261,668c511a-564e-4f0b-9aeb-d4ca631f749b,3,AB|AR|CO|ENC|GA|NE|OK|PDLTEK|REN|SC|TX|VA|WI
2af77cbe-515d-4afb-9d7a-7129555a2eae,"Ask literal, interpretive, evaluative, and universal questions","ask literal, interpretive, evaluative, and universal questions",English Language Arts,Grade 6,6.0,Inference and Evidence,grade-progression,08595e24-5ac5-45d2-8cfb-e496cf81c261,ea4a77d2-a871-4a74-99d1-8a29c2fd75d5,4,AB|CO|NE|OK|PDLTEK|REN|SC|TX|VA|WI
01d75cea-cc1e-4e53-86a0-bc5530de0c91,"Decode grade-appropriate multisyllable words using knowledge of consonant digraphs (e.g., brother)",decode grade-appropriate multisyllable words using knowledge of consonant digraphs,English Language Arts,Grade 2,2.0,Syllables,grade-progression,0b1f9c88-5253-4b8f-ac93-02c9d8f41295,,1,AB|AL|AR|GA|HI|KS|MO|NE|NY|OK|SC|TX|UT|VA
0844fba7-907c-46d5-a38f-34a485152b34,"Decode grade-appropriate multisyllable words using knowledge of consonant and vowel sounds (e.g., heavy)",decode grade-appropriate multisyllable words using knowledge of consonant and vowel sounds,English Language Arts,Grade 2,2.0,Syllables,grade-progression,0b1f9c88-5253-4b8f-ac93-02c9d8f41295,01d75cea-cc1e-4e53-86a0-bc5530de0c91,2,AB|AL|AR|AZ|FL|GA|HI|IA|IN|MO|NE|NJ|NY|OK|SC|TX|UT|VA
7a7d63d8-2400-e411-9e54-005056801da1,Calculate mathematical statements for multiplication within the multiplication tables,calculate mathematical statements for multiplication within the multiplication tables,Mathematics,Grade 3,3.0,Whole Numbers: Multiplication and Division,grade-progression,0bfb7d1c-7b26-41ea-b064-60ed340de2cd,,1,ENC
797d63d8-2400-e411-9e54-005056801da1,Calculate mathematical statements for division within the multiplication tables,calculate mathematical statements for division within the multiplication tables,Mathematics,Grade 3,3.0,Whole Numbers: Multiplication and Division,grade-progression,0bfb7d1c-7b26-41ea-b064-60ed340de2cd,7a7d63d8-2400-e411-9e54-005056801da1,2,ENC
ea767fbc-56fb-4eaa-a3e6-0f73b6c17445,Find an unknown side length of a polygon given the perimeter and the other side lengths to solve a real-world problem,find an unknown side length of a polygon given the perimeter and the other side lengths to solve a real-world problem,Mathematics,Grade 3,3.0,"Perimeter, Circumference, and Area",grade-progression,1053511b-b09e-4d06-97ca-20c5bb63f345,,1,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OR|PA|REN|RI|SC|SD|TN|TX|UT|VT|WA|WI|WV|WY
09a4bfaa-479d-e311-b77c-005056801da1,Find an unknown side length of a polygon given the perimeter and the other side lengths,find an unknown side length of a polygon given the perimeter and the other side lengths,Mathematics,Grade 3,3.0,"Perimeter, Circumference, and Area",grade-progression,1053511b-b09e-4d06-97ca-20c5bb63f345,ea767fbc-56fb-4eaa-a3e6-0f73b6c17445,2,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OR|PA|REN|RI|SC|SD|TN|TX|UT|VT|WA|WI|WV|WY
a0012ecc-ef86-4459-82a2-37ddc32bd59f,Determine the domain or range of a linear function,the domain or range of a linear function,Mathematics,Grade 9,9.0,Relations and Functions,grade-progression,1131867c-0c6a-41de-ab58-52b45ae3c260,,1,AR|FL|GA|NE|OK|TX|VA
ad7f59a0-0427-4264-9fca-c05edd642537,Determine the domain or range of a polynomial function,the domain or range of a polynomial function,Mathematics,Grade 11,11.0,Polynomial Expressions and Functions,grade-progression,1131867c-0c6a-41de-ab58-52b45ae3c260,a0012ecc-ef86-4459-82a2-37ddc32bd59f,2,AR|SC|VA
5e11f61e-e69f-e311-9503-005056801da1,"Select textual evidence based on evaluation of its strength, completeness, and relevance to the analysis of an informational text","select textual evidence based on evaluation of its strength, completeness, and relevance to the analysis of an informational text",English Language Arts,Grade 10,10.0,Inference and Evidence,grade-progression,11e3ed02-1471-4324-8fc8-e5ef58c3657d,,1,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|ENC|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PDLCAC|PDLCCE|PDLILC|PDLNMC|PDLTEK|REN|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
aee71838-263f-4ae8-a525-6131be4fbbd1,Select textual evidence based on evaluation of its strength and relevance to the analysis of an informational text and with awareness of other possible conclusions to be drawn from the evidence,select textual evidence based on evaluation of its strength and relevance to the analysis of an informational text and with awareness of other possible conclusions to be drawn from the evidence,English Language Arts,Grade 12,12.0,Inference and Evidence,grade-progression,11e3ed02-1471-4324-8fc8-e5ef58c3657d,5e11f61e-e69f-e311-9503-005056801da1,2,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PDLCAC|PDLCCE|PDLILC|PDLNMC|PDLTEK|REN|RI|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
fb2556f7-612b-443d-934d-4baf1cbb8a65,Select textual evidence based on evaluation of its strength and relevance to the analysis of a literary text and with awareness of other possible conclusions to be drawn from the evidence,select textual evidence based on evaluation of its strength and relevance to the analysis of a literary text and with awareness of other possible conclusions to be drawn from the evidence,English Language Arts,Grade 12,12.0,Inference and Evidence,grade-progression,11e3ed02-1471-4324-8fc8-e5ef58c3657d,aee71838-263f-4ae8-a525-6131be4fbbd1,3,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PDLCAC|PDLCCE|PDLILC|PDLNMC|PDLTEK|REN|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
6d31e8c1-926b-463f-bcae-84d4c4a9a174,Use sensory language to convey experiences and events in seventh-grade narrative writing,sensory language to convey experiences and events in seventh-grade narrative writing,English Language Arts,Grade 7,7.0,Narrative Writing,grade-progression,11f67c90-d0dc-43a4-a526-12beb2493853,,1,AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|IN|KS|KY|LA|MA|MN|MS|NC|NE|NJ|NY|OH|OK|OR|PA|SC|TN|VA|WI|WV
60deaa83-2837-494b-89ce-23db61b85d60,Use sensory language to convey experiences and events in eighth-grade narrative writing,sensory language to convey experiences and events in eighth-grade narrative writing,English Language Arts,Grade 8,8.0,Narrative Writing,grade-progression,11f67c90-d0dc-43a4-a526-12beb2493853,6d31e8c1-926b-463f-bcae-84d4c4a9a174,2,AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MS|NC|NE|NJ|NY|OH|OK|OR|PA|SC|TN|VA|WV
0da21023-5b65-4563-affe-febd7ebf44fc,Use precise language and domain-specific vocabulary in seventh-grade informative writing,precise language and domain-specific vocabulary in seventh-grade informative writing,English Language Arts,Grade 7,7.0,Informative Writing,grade-progression,123be496-872f-4938-938b-e59b293cfea7,,1,AL|AR|AZ|CA|CCSS|CO|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|VA|WI|WV
8b576cca-e1d8-465b-8f3c-ea6f11834f1b,Use precise language and domain-specific vocabulary in eighth-grade informative writing,precise language and domain-specific vocabulary in eighth-grade informative writing,English Language Arts,Grade 8,8.0,Informative Writing,grade-progression,123be496-872f-4938-938b-e59b293cfea7,0da21023-5b65-4563-affe-febd7ebf44fc,2,AL|AR|AZ|CA|CCSS|CO|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|WI|WV
63851d7c-2eef-4f92-a711-6ce8377bc3cf,Use pictures or objects to show why a basic subtraction fact equation is true,pictures or objects to show why a basic subtraction fact equation is true,Mathematics,Kindergarten,0.0,Whole Numbers: Addition and Subtraction,grade-progression,13052c62-17ff-403b-b0ef-56479ff8d06d,,1,FL|SC
ef642f8d-6c8f-4a00-95a3-53c2090def3b,Use pictures or objects to show why a basic addition fact equation is true,pictures or objects to show why a basic addition fact equation is true,Mathematics,Kindergarten,0.0,Whole Numbers: Addition and Subtraction,grade-progression,13052c62-17ff-403b-b0ef-56479ff8d06d,63851d7c-2eef-4f92-a711-6ce8377bc3cf,2,FL|SC
58dff5be-314d-43eb-bcb9-3af1ceb8fc55,Introduce a topic with a topic sentence in third-grade informative writing,introduce a topic with a topic sentence in third-grade informative writing,English Language Arts,Grade 3,3.0,Informative Writing,grade-progression,138f1c1f-9edd-4fe4-9831-3e6f9bb28778,,1,AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OR|PA|SC|TN|TX|UT|VA|WI|WV
e0656119-200f-4451-bf52-94c3b4c97829,Introduce a topic with a topic sentence in fifth-grade informative writing,introduce a topic with a topic sentence in fifth-grade informative writing,English Language Arts,Grade 5,5.0,Informative Writing,grade-progression,138f1c1f-9edd-4fe4-9831-3e6f9bb28778,58dff5be-314d-43eb-bcb9-3af1ceb8fc55,2,AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
aa7ee17b-ebe5-4df9-b73a-cde90584795c,Use the structure of an expression to rewrite an exponential expression,the structure of an expression to rewrite an exponential expression,Mathematics,Grade 9,9.0,Exponential and Logarithmic Expressions and Functions,grade-progression,13d815f0-0461-4f96-9ad8-186448896786,,1,AK|AL|AR|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|KS|KY|LA|MA|MD|ME|MI|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OR|PA|REN|RI|SD|TN|UT|VT|WA|WI|WV|WY
83e8cfa6-9b54-4ba2-b863-57c5b6b7a93d,Use the structure of an expression to rewrite a quadratic expression,the structure of an expression to rewrite a quadratic expression,Mathematics,Grade 9,9.0,"Quadratic Expressions, Equations, and Inequalities",grade-progression,13d815f0-0461-4f96-9ad8-186448896786,aa7ee17b-ebe5-4df9-b73a-cde90584795c,2,AK|AL|AR|AZ|CA|CCSS|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|OH|OK|OR|PA|RI|SD|UT|VT|WA|WI|WV|WY
aff0feed-209b-45c0-9082-eecc9b1e779b,Write a 1- or 2-step equation to represent a relationship expressed in a table,write a 1- or 2-step equation to represent a relationship expressed in a table,Mathematics,Grade 7,7.0,"Linear Expressions, Equations, and Inequalities",grade-progression,13dc94c6-384f-411b-9900-929671dc83e4,,1,NE
feaae68b-a125-4f58-941f-379a8f4262ef,Write a 1- or 2-step equation to represent a relationship expressed verbally,write a 1- or 2-step equation to represent a relationship expressed verbally,Mathematics,Grade 7,7.0,"Linear Expressions, Equations, and Inequalities",grade-progression,13dc94c6-384f-411b-9900-929671dc83e4,aff0feed-209b-45c0-9082-eecc9b1e779b,2,NE
349f0603-92a0-40b6-a12c-9aa10db96d87,"Identify the effect of replacing <i>f</i>(<i>x</i>) with  <i>af</i>(<i>x</i>),  <i>f</i>(<i>x</i> - <i>h</i>) or <i>f</i>(<i>x</i>) + <i>k</i> on the graph of an absolute value function","the effect of replacing f with af, f or f + k on the graph of an absolute value function",Mathematics,Grade 9,9.0,"Nonlinear Expressions, Equations, and Inequalities",grade-progression,13fed311-b19c-47ca-87ad-fc2bb563e39e,,1,ND
e7bc49f6-6ca0-4ad3-9b18-11e7d8deb65c,"Identify the effect of replacing <i>f</i>(<i>x</i>) with  <i>af</i>(<i>x</i>),  <i>f</i>(<i>x</i> - <i>h</i>) or <i>f</i>(<i>x</i>) + <i>k</i> on the graph of a quadratic function","the effect of replacing f with af, f or f + k on the graph of a quadratic function",Mathematics,Grade 9,9.0,"Quadratic Expressions, Equations, and Inequalities",grade-progression,13fed311-b19c-47ca-87ad-fc2bb563e39e,349f0603-92a0-40b6-a12c-9aa10db96d87,2,ND|SC
4dee2d5f-58fd-4062-94b3-9c86f2bbc67e,Identify the effect of replacing <i>f</i>(<i>x</i>) with <i>f</i>(<i>x</i>) + <i>k</i> or <i>kf</i>(<i>x</i>) on the graph of a quadratic function,the effect of replacing f with f + k or kf on the graph of a quadratic function,Mathematics,Grade 9,9.0,Relations and Functions,grade-progression,13fed311-b19c-47ca-87ad-fc2bb563e39e,e7bc49f6-6ca0-4ad3-9b18-11e7d8deb65c,3,ND|VA
2644f518-49bf-4d61-89c0-29b79b1f4e47,Determine the effect of replacing <i>f</i>(<i>x</i>) with <i>f</i>(<i>x</i>) + <i>c</i> or <i>f</i>(<i>x</i> - <i>c</i>) on the graph of a linear or absolute value function,the effect of replacing f with f + c or f on the graph of a linear or absolute value function,Mathematics,Grade 9,9.0,Relations and Functions,grade-progression,13fed311-b19c-47ca-87ad-fc2bb563e39e,4dee2d5f-58fd-4062-94b3-9c86f2bbc67e,4,ND|NE|OK
1abdac95-c0b5-4957-a39b-8fa698ed879a,"Identify the effect of replacing <i>f</i>(<i>x</i>) with  <i>af</i>(<i>x</i>),  <i>f</i>(<i>x</i> - <i>h</i>) or <i>f</i>(<i>x</i>) + <i>k</i> on the graph of a linear function","the effect of replacing f with af, f or f + k on the graph of a linear function",Mathematics,Grade 9,9.0,Relations and Functions,grade-progression,13fed311-b19c-47ca-87ad-fc2bb563e39e,2644f518-49bf-4d61-89c0-29b79b1f4e47,5,ND|SC
fbf40864-ced5-4075-af42-3fec2f90ae81,Determine an expression for the <i>n</i>th term of a linear sequence,an expression for the nth term of a linear sequence,Mathematics,Grade 9,9.0,"Patterns, Sequences, and Series",grade-progression,14093a3e-6b36-4d1d-aa4e-a143dfacbde2,,1,ENC
d813978a-1254-4283-ae21-095138324d21,Determine an expression for the <i>n</i>th term of a quadratic sequence,an expression for the nth term of a quadratic sequence,Mathematics,Grade 9,9.0,"Patterns, Sequences, and Series",grade-progression,14093a3e-6b36-4d1d-aa4e-a143dfacbde2,fbf40864-ced5-4075-af42-3fec2f90ae81,2,ENC
d22105d8-7771-403b-b75b-f948862228c9,Use transitions to signal time shifts in sixth-grade narrative writing,transitions to signal time shifts in sixth-grade narrative writing,English Language Arts,Grade 6,6.0,Narrative Writing,grade-progression,14620354-4ed0-4c39-8989-2775aff0de04,,1,AR|AZ|CA|CCSS|CO|GA|HI|IA|IN|KS|KY|LA|MA|MO|MS|NC|ND|NE|NJ|NY|OH|OR|PA|TN|TX|UT|VA|WI|WV
