SKILL_ID,SKILL_NAME,MASTER_CONCEPT_ID,MASTER_CONCEPT_NAME,EQUIVALENCE_TYPE,TAXONOMY_PATH,CONFIDENCE
fdf1dd11-fd25-493b-bc82-45a51bad82e8,Write all lowercase letters of the English alphabet,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High
a40ff61e-e69f-e311-9503-005056801da1,"Know the order of the alphabet (e.g., identify letters that come before or after another letter; sing the alphabet song)",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Medium
0b5e137e-bc6e-48a0-8c23-662a412103f2,Name some of the letters of the alphabet and recognize their lower- and uppercase forms,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High
37ad4a3c-4dfc-4934-9b72-a389f0afb69c,Recognize all the letters of the alphabet in random order,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High
5b314c9c-a69f-e311-9503-005056801da1,"Distinguish between the shapes of different letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",MC-SA-0038,Word Recognition,grade-progression,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Medium
a20ff61e-e69f-e311-9503-005056801da1,"Name all the letters of the alphabet and recognize their lower- and uppercase forms (e.g., pick another way to write the letter <i>G</i> from <i>q</i>, <i>g</i>, <i>j</i>)",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High
a3a27cf7-5dd4-4a17-9911-6c5a40093139,"With support, begin to write letters of the alphabet including some upper- and lowercase letters (e.g., write most of the letters in one's own name)",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High
a10ff61e-e69f-e311-9503-005056801da1,"Name, rapidly and automatically, the letters of the alphabet",,,unique,Word Recognition > Automaticity > Rapid Automatized Naming > Naming Speed > Rapidly Name Familiar Symbols and Words,High
06407ce2-f6dd-466e-a36a-19042d2cb56c,"Critique the similarities and differences in style, purpose, and organization of different genres of literary texts",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
d9324c9c-a69f-e311-9503-005056801da1,Connect literary works to historical documents or other works to show their influence on one another,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
ef11f61e-e69f-e311-9503-005056801da1,"Explain similarities and differences (e.g., purpose, organization, main ideas, viewpoint) between informational texts on the same topic",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
a44b116b-fafe-4a81-b873-fbecc1b2c138,Compare and contrast arguments on the same topic by two authors with different perspectives to evaluate the relevance and sufficiency of their evidence and the validity of their reasoning,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Elements of Comparison > Evaluating Comparative Claims,High
e411f61e-e69f-e311-9503-005056801da1,Integrate information from two nonfiction texts on the same topic into a broader understanding in order to write or speak knowledgeably about the topic,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,Medium
70811581-ee22-4221-85ef-ce5233d9f277,"Analyze the progression of an idea or concept over time in works of historical and literary significance (e.g., the meaning of virtue in different periods of literature)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,Medium
b45c6403-2db5-4fdf-a654-b00b9b2b6fb7,"Synthesize and make connections between ideas in a text and between multiple texts of various genres, providing textual evidence to support analysis",MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
d1cceefa-b1f9-4655-8775-a0144fc13fdd,"Compare and contrast elements of poems (e.g., stanzas, verses, rhyme, images)",,,unique,"Language Comprehension > Literacy Knowledge > Literary Form > Poetic Form > Elements Of Poetry > Understanding Poetic Elements (e.g., Stanzas, Rhyme Schemes)",High
65868ab8-e28c-4363-bc4e-0eef8fa8b408,"Compare and contrast how two or more literary texts from the same period treat similar themes or topics (e.g., <i>La Voragine</i> by José Eustasio Rivera and <i>Doña Bárbara</i> by Rómulo Gallegos)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
ce10f61e-e69f-e311-9503-005056801da1,"Compare and contrast how texts in different forms or genres deal with similar themes or topics (e.g., explain the difference in approaches taken by a fantasy novel and a realistic novel that deal with similar themes)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
9311f61e-e69f-e311-9503-005056801da1,Determine when authors have different opinions or viewpoints about a topic and describe events differently,,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Critical Literacy > Evaluating Bias and Source > Considering and Evaluating Different Viewpoints,High
d1baa244-28e9-4866-9c07-c3b3c8d4bd9d,Analyze multiple interpretations of literary texts by authors who represent diverse world cultures,MC-SA-0003,Author's Craft and Style,grade-progression,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Critical Literacy > Questioning Texts > Comparing Different Perspectives,Medium
987399e7-05e1-4703-adc3-58773713ad45,"Compare and contrast the ideas or themes in literary texts to the cultural, political, intellectual, and social influences of their time, and analyze how social factors of the historical period affect works of fiction",MC-SA-0001,Understanding Historical Context,state-variant,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Historical Context > Analyzing the Impact of Historical Context > Examining Historical Influence on Text,High
33ab12ec-0d2b-4290-ade3-bad5b8e0ac14,"Analyze and compare, with increasing sophistication, informational texts on topics related to diverse cultures and viewpoints",MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,Medium
43dbe256-160c-43bb-ab76-96f213687f1a,Recognize the contributions of different cultures to the development of American literature,,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Cultural Context > Interpreting Cultural Significance > Evaluating Cultural Relevance,Medium
f0fdea00-0d8a-4ccc-b1f5-71e8476cdb00,Compare informational texts that present conflicting information or opposing views to analyze and evaluate their interpretations and identify where they disagree on facts,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,Medium
df11f61e-e69f-e311-9503-005056801da1,Compare and contrast the most important points and key details presented in informational texts on the same topic,MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Elements of Comparison > Recognizing Comparison Points,Medium
ff334c9c-a69f-e311-9503-005056801da1,"Compare how different media (magazine, documentary, Internet, TV news) handle the same story",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Media Forms,High
c210f61e-e69f-e311-9503-005056801da1,"Compare and contrast two or more versions of the same or similar stories such as those by different authors or from different cultures (e.g., describe the similarities and differences between the French story ""The Sleeping Beauty"" by Charles Perrault and the German story ""Little Briar Rose"" by the Brothers Grimm)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
9a22ab44-75c3-4420-bf5f-c83cbb0b4495,"Synthesize and make logical connections between ideas within a text and across two or three texts representing similar or different genres, and support those findings with textual evidence",,,unique,Language Comprehension > Comprehension > Comprehension Strategies > During Reading > Making Connections > Connecting Ideas Within and Across Texts,High
f7bbb5ff-9b01-4827-b20a-1ce9e3eda5e1,"Analyze documents with historical and literary significance from the seventeenth, eighteenth, and nineteenth centuries (including the declarations of independence of Latin American countries, the <i>Response to Sor Filotea de la Cruz</i> by Sor Juana Inés de la Cruz, and <i>Las silvas americanas</i> by Andrés Bello), for their themes, purposes, and rhetorical devices",,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Historical Context > Linking Historical Context to Themes > Relating Historical Events to Themes,Medium
9a47e2ab-7ae3-4660-aab7-9f7402eac729,Compare and contrast ideas and themes presented in literary and informational texts on the same topics,MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
1068becb-8a87-4632-8490-ad1cf2141bc9,Synthesize and make connections between ideas and details in several texts with differing viewpoints on the same topic,,,grade-progression,Language Comprehension > Verbal Reasoning > Logical Reasoning > Argument Assimilation > Synthesizing Arguments > Integrating Multiple Perspectives,High
6587df4e-6df0-447e-adbd-49902cf88928,Compare and contrast how authors use literary and sound devices to convey messages and elicit emotional responses,,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Author's Craft and Style > Analyzing Author's Techniques > Analyzing Literary Device Usage,High
0f12f61e-e69f-e311-9503-005056801da1,"Analyze and compare nonfiction texts of various genres (e.g., speeches, editorials, essays) for their use of rhetorical devices such as irony and metaphor",,,unique,Language Comprehension > Literacy Knowledge > Rhetorical Device > Irony and Sound Devices > Analyze Irony and Sound Devices > Analyze Irony and Sound Devices,High
f0267ee4-066b-4dc8-8883-ecca1a2d78c9,"Compare two or more literary and nonfiction texts on the same topic or with similar themes, including how they approach ideas and how they are organized",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
87eeb392-2abd-43b8-8057-0236da20638c,"Compare and contrast myths and traditional literature in different cultures (e.g., ideas of afterlife, roles and characteristics of deities, purposes of myths)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
0b0b2b7c-22da-4ab2-a46a-6aa3e2e1d396,"Compare the effects of literary and sound devices (e.g., how they impact meaning or elicit an emotional response) in and across texts",,,unique,"Language Comprehension > Literacy Knowledge > Literary Effects > Mood, Tone, and Atmosphere > Analyze Mood, Tone, and Atmosphere > Analyze Mood, Tone, and Atmosphere",High
163ec225-3800-e411-9e54-005056801da1,"Compare, in detail, themes and main ideas across literary texts",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
b9d8c2ae-2a29-4e53-b288-3c030d744026,"Analyze the development of universal themes (e.g., coming of age, relationship with nature) in literature from different eras (e.g., stories, poems, literary nonfiction) and how contemporary works draw on themes, patterns, and archetypes from mythology and other influential works of the past",,,unique,Language Comprehension > Verbal Reasoning > Inferential and Interpretive Reasoning > Symbolic and Implicit Analysis > Interpreting Theme > Analyzing Theme Development,Medium
a5324c9c-a69f-e311-9503-005056801da1,Make and explain the connections between the literary elements of works from the same time period in order to understand their commonality,,,unique,Language Comprehension > Literacy Knowledge > Literary Form > Contextual and Intertextual Understanding > Contextual Understanding > Understanding Historical Context,Medium
fe324c9c-a69f-e311-9503-005056801da1,"Connect literary works to other works and to events or ideas of their time (e.g., in ""Siddhartha,"" Herman Hesse is writing about an influential figure from 500 BCE, but his work is more influenced by the existential ideas of his own time)",,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Historical Context > Analyzing the Impact of Historical Context > Examining Historical Influence on Text,Medium
8ac6b1d7-280e-42c1-b311-f7896e2c123b,"Make connections between texts across various genres, providing textual evidence to support analysis",MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
0b40c225-3800-e411-9e54-005056801da1,"Make critical comparisons about contexts, themes, characterization, style, and literary quality within and between texts, drawing on critical understanding of the context (e.g., Compare the development of character foils in <i>Jane Eyre</i>. How does their development reflect differences in society at the time?)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
f33dc225-3800-e411-9e54-005056801da1,"Compare and contrast themes and ideas within a text or in different texts, beginning to take social, cultural, and historical context into account",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,Low
3ab149dd-0d70-4e8b-911a-6ef8dc13c288,"Compare and contrast two or more versions of the same or similar stories such as those by different authors or from different cultures (e.g., describe the similarities and differences between the French story ""Cenicienta"" recounted by Charles Perrault and the Xhosa story ""Las Bellas Hijas de Mufaro"" recounted by John Steptoe)",,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Critical Literacy > Transformative Practices > Creating Counter-Narratives,Low
f8ec3c47-bed9-4b15-9753-5466030621e0,"Analyze how works of literature from various cultures and time periods (e.g., Hispanic and Native American literature) reflect authors' culture, and explain the impact of these works in a larger context, citing evidence",,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Cultural Context > Interpreting Cultural Significance > Evaluating Cultural Relevance,Low
64b0d0dc-e193-4965-a136-27ab07a835f2,Analyze multiple interpretations of challenging literary texts by authors who represent diverse world cultures,,,grade-progression,Language Comprehension > Verbal Reasoning > Critical Literacy > Questioning Texts > Comparing Different Perspectives,Medium
fb7f334d-2c59-4cb2-a9c5-5db54b8ebb2e,"Compare and contrast a literary text's portrayal of time, place, and characters with historical facts and nonfictional accounts of the same period (e.g., discuss the portrayal of historical characters and events in <i>Largo pétalo de mar</i> by Isabel Allende as opposed to the facts and accounts presented about the Spanish Civil War and its refugees in a history text)",,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Historical Context > Linking Historical Context to Themes > Relating Historical Events to Themes,Medium
dd10f61e-e69f-e311-9503-005056801da1,Evaluate a literary work's commentary and contribution to issues and ideas by comparing and contrasting its theme(s) to other works from the same historical period,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,Medium
d610f61e-e69f-e311-9503-005056801da1,"Analyze archetypes and motifs found in classical literature and how classical literature has affected modern literature and film (e.g., explain how the movie <i>10 Things I Hate About You</i> interprets themes from Shakespeare's <i>The Taming of the Shrew</i>)",,,unique,"Language Comprehension > Literacy Knowledge > Literary Form > Contextual and Intertextual Understanding > Adaptation > Understanding The Transfer Of A Work From One Style, Culture, Or Medium To Another",High
786be436-cd1b-4ddf-8d72-5d9800439179,"Compare and contrast how stories, myths, and other traditional literature from various cultures approach similar themes and ideas (e.g., good versus evil) and how different stories may employ archetypal patterns (e.g., the quest)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
425fc384-67b1-487d-8fc1-e6c448c1d3af,Compare how different authors achieve their purposes in works of nonfiction on similar topics,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Media Techniques,Low
165c2dd8-be77-4e5c-8068-f9cf3cdd11ab,"Analyze and compare dramatic elements of plays from the United States, Great Britain, and other countries",,,unique,"Language Comprehension > Literacy Knowledge > Literary Form > Dramatic Form > Dramatic Elements > Understanding Dramatic Elements (e.g., Acts, Scenes)",Medium
d411f61e-e69f-e311-9503-005056801da1,"Determine how things are alike and different in informational texts on the same topic (e.g., illustrations, descriptions, procedures)",MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,Medium
aff9e31e-9066-47dd-8144-911c7f1c27a5,"Make connections to own experiences, to ideas in other texts, and to the larger community (e.g., the character is like someone I know; many people would make the same choice)",,,unique,Language Expression > Oral Discourse > Rhetorical Strategies > Narrative Techniques > Relating Personal Anecdotes > Connecting with Audience,Low
21eb6096-243d-4e4d-8e0c-f705bbcbf360,Describe how works of literature from various cultures reflect authors' culture and compare different perspectives found in texts to one's own,,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Cultural Context > Interpreting Cultural Significance > Evaluating Cultural Relevance,High
0012f61e-e69f-e311-9503-005056801da1,Describe instances in which authors writing about the same informational topic disagree or arrive at different conclusions,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,Medium
0d3ec225-3800-e411-9e54-005056801da1,"Compare similarities and differences in stories from the same genre (e.g., common characters, events and settings in traditional tales)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
29b5c07f-d8a1-4a13-a7e8-5f8dae14fbaf,"Make connections (e.g., thematic links, author analysis) between literary and informational texts with similar ideas and provide textual evidence",,,unique,Language Comprehension > Comprehension > Comprehension Strategies > During Reading > Making Connections > Connecting Ideas Within and Across Texts,High
3502b123-0ef8-47c6-abc7-55cca250d616,"Describe connections between texts or other sources, and between texts and personal experience",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
556d8fa4-7ae3-4e86-a837-22f8a87d2052,"Analyze archetypes and motifs in literary works and how authors may draw on themes from influential works and stories of the past (e.g., superhero films based on the powers of gods in diverse mythologies)",,,unique,Language Comprehension > Literacy Knowledge > Literary Device > Character Archetype > Heroic Traits > Understanding the role of the Hero,Medium
de10f61e-e69f-e311-9503-005056801da1,"Compare and contrast how two or more literary texts from the same period treat similar themes or topics (e.g., Upton Sinclair's <i>The Jungle</i> and Carl Sandburg's poem ""Chicago"")",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
9611f61e-e69f-e311-9503-005056801da1,Compare and contrast authors' perspectives in multiple accounts of the same event or topic in informational texts,,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Critical Literacy > Questioning Texts > Comparing Different Perspectives,High
0c40c225-3800-e411-9e54-005056801da1,"Make critical comparisons between texts, drawing on wider reading and knowledge (e.g., knowledge of historical context, literary movements)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
959ab3f2-6719-4f64-bac9-737e401f97c8,"Compare works of historical and literary significance to analyze the progression of ideas or concepts over decades or centuries and how they have changed with their context (e.g., the idea of a republic from Plato to Machiavelli to John Locke and the founders of the United States)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,Medium
a511f61e-e69f-e311-9503-005056801da1,Compare and contrast authors' purposes or positions in informational texts on similar topics,,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Author's Craft and Style > Analyzing Author's Purpose > Analyzing Authorial Intent,Medium
d110f61e-e69f-e311-9503-005056801da1,"Describe instances of modern literary texts drawing on the characteristics, themes, and patterns or events of epic tales, myths, and traditional tales, and compare and contrast the modern text to its source material",,,unique,Language Comprehension > Literacy Knowledge > Literary Form > Contextual and Intertextual Understanding > Intertextuality > Understanding Connections Between Texts,Medium
1b12f61e-e69f-e311-9503-005056801da1,"Analyze the similarities and differences in style, purpose, treatment of theme, use of rhetorical devices, and organization of informational texts of historical and literary significance",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,Medium
c410f61e-e69f-e311-9503-005056801da1,"Compare and contrast traditional tales (e.g., trickster tales from different cultures) and describe their similarities and differences",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
534eb64f-eca7-4483-b21e-ac51219171f0,Synthesize and make connections between ideas and information in several texts to reflect a range of viewpoints on the same topic,,,grade-progression,Language Comprehension > Verbal Reasoning > Logical Reasoning > Argument Assimilation > Synthesizing Arguments > Integrating Multiple Perspectives,High
f4b60cbf-628a-4640-b12d-b05e7bef2d9a,"Analyze and compare the themes or central ideas of multiple texts, researching and interpreting how each author's perspective, personal context, and bias have impacted the text",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
0e12f61e-e69f-e311-9503-005056801da1,Compare and contrast the treatment of similar themes or topics across genres or mediums in order to explain how the genre or medium shapes the theme or topic,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
0719e940-17b5-4c1d-a2ac-480e904e449e,"Analyze how works of literature from various cultures and time periods (e.g., Hispanic and Native American literature) reflect and are influenced by authors' culture and perspective, and evaluate the impact of these works in a larger context, citing evidence",,,unique,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Cultural Context > Interpreting Cultural Significance > Evaluating Cultural Relevance,High
f811f61e-e69f-e311-9503-005056801da1,Analyze similarities and differences in emphasis and interpretation in informational texts on the same topic,,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,High
d910f61e-e69f-e311-9503-005056801da1,"Analyze archetypes and motifs in literary works and how authors may draw on themes from influential works and stories of the past (e.g., explain how a newer book such as <i>The Hunger Games</i> by Suzanne Collins draws on dystopian themes explored in earlier works such as ""The Lottery"" by Shirley Jackson and <i>Lord of the Flies</i> by William Golding)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,High
2f334c9c-a69f-e311-9503-005056801da1,Recognize themes and situations in literary texts that are applicable to real life,,,unique,Language Comprehension > Literacy Knowledge > Literary Form > Narrative Form > Elements Of Story > Understanding Recurring Themes In Literature,High
ccd57e6d-9cfa-4d1c-a2d9-64b4c19b4060,"Listen to similar stories or texts on the same topic, and with support, discuss similarities and differences",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Comparative Analysis > Comparative Techniques > Evaluating Similarities and Differences,Medium
c9bea921-3989-48c5-ad29-884301d6cfc4,"Make connections between and across texts, including other media (e.g., film, play), and provide textual evidence",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Media Forms,High
da81e49d-1d96-4208-aa32-364e28278569,"Make intertextual links among and across texts, using evidence from the texts (e.g., compare a book to a film based on it; recognize literary allusions to other works)",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
6a22d694-281d-4d68-8df5-03ece67a91c3,"Analyze how works of literature from various cultures reflect authors' culture, and explain the impact of these works in a larger context, citing evidence",MC-SA-0001,Understanding Historical Context,grade-progression,Language Comprehension > Verbal Reasoning > Contextual Analysis > Understanding Cultural Context > Interpreting Cultural Significance > Analyzing Cultural Impact,High
eb11f61e-e69f-e311-9503-005056801da1,"Integrate information on a topic from several nonfiction texts to develop a base of knowledge on a subject (e.g., categorize/organize information, compare information, summarize from multiple texts)",,,unique,Language Comprehension > Background Knowledge > Knowledge Dimensions > Disciplinary Knowledge > Content and Genre Conventions > Understanding Discipline-specific Content and Genre Conventions,Low
144acda7-00aa-4267-ad35-577f36c23166,"Make connections between literary, informational, and media text and one's own experience and prior knowledge, drawing on this knowledge to make critical comparisons",,,unique,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Intertextual Connections,High
1412f61e-e69f-e311-9503-005056801da1,"Analyze the similarities and differences in style (e.g., formal, informal, conversational, scholarly, journalistic, poetic) and purpose (e.g., to convince, to rebut, to entertain, to critique, to inform) of informational texts, and analyze their treatment of themes and use of rhetorical devices",,,unique,Language Comprehension > Verbal Reasoning > Analytical Reasoning > Critical Literacy > Conducting Logical and Rhetorical Analysis > Analyzing Rhetorical Strategies,High
75dc16f9-6a48-4032-a124-d51489c5acb9,Analyze and compare informational texts on topics related to diverse cultures and viewpoints,MC-SA-0002,Intertextual Analysis,grade-progression,Language Comprehension > Verbal Reasoning > Analogical and Comparative Reasoning > Intertextual Analysis > Comparing Media > Comparing Thematic Parallels,Medium
