Strand,Pillar,Domain,Skill Area,Skill Set,Skill Subset,Skill Subset Annotation
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Planning and Organization,Task Planning,,"Examples: Planning Steps for Complex Reading Tasks — The ability to plan, sequence, and organize steps to complete complex reading assignments.; Create Stepwise Reading Plan — The ability to outline steps for complex reading assignments.; Set Time Blocks and Breaks — The ability to allocate focused time blocks and restorative breaks."
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Planning and Organization,Time Allocation Planning,,Examples: Allocate Time to Subtasks — The ability to allocate time appropriately across reading subtasks.; Estimate Task Durations — The ability to estimate durations accurately for subtasks.; Plan Buffer Time — The ability to plan buffer time for unexpected difficulties.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Working Memory Updating,Goal and Information Updating,,Examples: Maintaining and updating task goals and textual information during reading — The ability to hold and update relevant information in mind while integrating new text.; Refresh Key Points During Reading — The ability to mentally refresh key ideas at planned intervals.; Revise Task Goals as New Info Emerges — The ability to update goals based on evolving understanding.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Working Memory Updating,Rehearsal and Refresh,,Examples: Rehearse and Refresh Information — The ability to rehearse and refresh relevant information in working memory during reading.; Articulatory Rehearsal — The ability to use subvocal rehearsal to maintain items.; Refresh in N‑back Window — The ability to refresh items within a limited n‑back span.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Working Memory Updating,Relevance Updating,,Examples: Update Relevance Filters During Reading — The ability to update what information is relevant as new text is encountered.; Promote Relevant Info — The ability to promote newly relevant info into focus.; Demote Irrelevant Info — The ability to demote no‑longer‑relevant info from focus.
Active Self-Regulation,Executive Function Skills,Maintaining Focus,Attention Control,Attention and Focus,,Examples: Establishing a Focus Ritual — The practice of creating and consistently following a set of actions or behaviors designed to prepare the mind and body for focused work or study.; Managing Distractions — The skill of identifying and minimizing potential distractions to maintain focus while reading. Example: Turning off notifications on electronic devices and choosing a quiet place to read.; Mindfulness Before Reading — The practice of engaging in mindfulness activities before reading to prepare mentally. Example: Taking a few deep breaths and visualizing a calm scenario to clear the mind before starting to read.
Active Self-Regulation,Executive Function Skills,Maintaining Focus,Attention Control,Focus Routines,,Examples: Establish Rituals and Cues — The ability to establish and use rituals/cues to enter and maintain a focused state.; Cue‑Controlled Start Routine — The ability to use consistent cues to begin focused work.; Environmental Refocus Cues — The ability to use environmental cues to restore focus after drift.
Active Self-Regulation,Executive Function Skills,Maintaining Focus,Attention-Sustaining Techniques,Avoiding Multitasking,,Examples: Focused Reading Sessions — The ability to concentrate on one reading task at a time without multitasking. Example: Reading a chapter of a book without checking phone notifications or engaging in other activities.; Single-Task Techniques — The method of focusing on a single task at hand to enhance productivity and reduce cognitive load. Example: Completing reading assignments without switching between different tasks to improve comprehension.
Active Self-Regulation,Executive Function Skills,Maintaining Focus,Attention-Sustaining Techniques,Time Management,,Examples: Creating Reading Schedules — The skill of developing and adhering to a consistent reading schedule to ensure regular practice. Example: Allocating a specific time each day for reading and sticking to that routine.; Using Timers for Reading Sessions — The practice of using timers to set specific reading periods and breaks to enhance focus. Example: Setting a timer for 25 minutes of focused reading followed by a 5-minute break (Pomodoro Technique).
Active Self-Regulation,Executive Function Skills,Using Working Memory,Information Retention Strategies,Chunking Information,,"Examples: Breaking Down Text into Chunks — The practice of dividing text into smaller, more manageable sections to improve memory retention.; Categorizing Information — The skill of grouping related information together to enhance understanding and recall."
Active Self-Regulation,Executive Function Skills,Using Working Memory,Information Retention Strategies,Use of Mnemonics,,"Examples: Applying Acronyms and Acrostics — The practice of creating and using acronyms and acrostics to remember complex information.; Creating Mnemonic Devices — The ability to use mnemonic techniques, such as acronyms or rhymes, to aid in memorizing information."
Active Self-Regulation,Executive Function Skills,Using Working Memory,Recalling Text,Enhancing Memory,,Examples: Text Summarization — Summarizing passages to reinforce understanding and memory.; Visualization Techniques — Using mental imagery to remember and understand text.
Active Self-Regulation,Executive Function Skills,Using Working Memory,Recalling Text,Retrieval Practice,,Examples: Self-Quiz Key Points — The ability to self-quiz key points from the text to strengthen retrieval.; Immediate and Delayed Recall — The ability to perform immediate and delayed recall cycles.; Generate Self‑questions for Retrieval — The ability to generate self‑questions to drive retrieval.
Active Self-Regulation,Motivation and Engagement,Expectation of Value,Building Reading Identity,Extrinsic vs. Intrinsic Motivation,,"Examples: Balancing External Rewards and Internal Satisfaction — The practice of finding a balance between external incentives and intrinsic enjoyment to sustain long-term reading motivation.; Identifying Personal Motivators — The ability to discern personal motivations for reading, whether they be external rewards or internal satisfaction."
Active Self-Regulation,Motivation and Engagement,Expectation of Value,Building Reading Identity,Reader Self-efficacy,,Examples: Strengthen Reader Self-efficacy — The ability to strengthen beliefs about one's capability to succeed as a reader.; Rates of Confidence by Task — The ability to rate confidence for upcoming reading tasks.; Link Confidence to Strategies — The ability to link confidence estimates to strategy choice.
Active Self-Regulation,Motivation and Engagement,Expectation of Value,Building Reading Identity,Self-Perception as a Reader,,Examples: Reflecting on Reading Identity — The practice of contemplating one's own identity as a reader and understanding personal reading habits and preferences.; Articulate Reader Strengths and Needs — The ability to identify personal reading strengths and growth areas.; Set Identity‑Aligned Intentions — The ability to set intentions that reinforce desired reader identity.
Active Self-Regulation,Motivation and Engagement,Expectation of Value,Valuing Reading,Developing Value,,Examples: Sharing Personal Stories — Discussing personal positive experiences with reading to highlight its value.; Understanding Benefits — Recognizing the cognitive and emotional benefits of reading.
Active Self-Regulation,Motivation and Engagement,Expectation of Value,Valuing Reading,Encouragement,,Examples: Celebrating Small Wins — Acknowledging and celebrating minor reading achievements to build motivation.; Engaging with Role Models — Learning about and from reading role models.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Celebrating Achievements,Recognition and Sharing,,"Examples: Share Achievements and Recognitions — The ability to share achievements appropriately (class, peers, family) to reinforce motivation.; Document Achievements — The ability to document achievements with brief evidence.; Share Summaries with Peers — The ability to share brief summaries/insights with peers/family."
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Celebrating Achievements,Social Sharing,,Examples: Participating in Reading Challenges and Competitions — The ability to engage in and benefit from reading challenges and competitive reading events.; Sharing Achievements with Peers — The skill of communicating reading milestones and accomplishments with friends and peers.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Goal Setting,Adjusting Goals,,Examples: Adjust Goals Based on Progress — The ability to adjust goals based on progress monitoring and feedback.; Tighten/Loosen Criteria — The ability to tighten/loosen criteria based on progress.; Revise Goal Scope — The ability to revise scope (breadth/depth) of goals.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Goal Setting,Goal Creation,,"Examples: Setting Reading Targets — The ability to set specific, measurable reading goals to achieve over a set period.; Define SMART Reading Goals — The ability to create specific, measurable, achievable, relevant, time‑bound goals.; Align Goals to Text Difficulty — The ability to calibrate goals to text complexity and stamina."
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Goal Setting,Milestone Setting,,Examples: Set Intermediate Milestones — The ability to set intermediate milestones that scaffold toward larger reading goals.; Define Intermediate Milestones — The ability to define granular milestones within the goal.; Schedule Milestone Reviews — The ability to schedule reviews at each milestone.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Goal Setting,Progress Tracking and Reflection,,"Examples: Maintaining a Reading Journal — The ability to document reading experiences, goals, and reflections in a journal to monitor progress and support motivation.; Update Progress Indicators — The ability to maintain checklists/meters of progress.; Write Session Reflections — The ability to write brief reflections after sessions to inform next steps."
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Goal Setting,Task Management,,"Examples: Breakdown of Goals into Manageable Tasks — The skill of dividing reading goals into smaller, manageable tasks for easier accomplishment.; Reflecting on Goal Achievement and Challenges — The practice of reviewing and reflecting on the attainment of reading goals and any obstacles encountered.; Using Reading Logs — The ability to maintain a record of reading activities and progress through reading logs."
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Overcoming Reading Obstacles,Barrier Identification,,Examples: Identifying and Addressing Barriers — The skill of recognizing challenges that hinder reading progress and finding solutions to overcome them.; Log Barriers and Triggers — The ability to record obstacles with contextual triggers.; Prioritize Barriers to Address — The ability to prioritize obstacles by impact and fixability.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Overcoming Reading Obstacles,Strategy Development,,Examples: Developing Strategies for Progress — The ability to create and implement strategies for maintaining steady reading growth.; Plan Strategy Trials — The ability to plan trials of alternative strategies for obstacles.; Analyze Strategy Effectiveness — The ability to analyze outcomes to keep/modify/replace strategies.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Overcoming Reading Obstacles,Strategy Experimentation,,Examples: Test and Select Strategies — The ability to test multiple strategies and select those that improve progress.; AB Test Strategies — The ability to AB test two strategies on comparable tasks.; Maintain Strategy Log — The ability to maintain a log of tried strategies and outcomes.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Reading Habits,Developing Reading Stamina,,Examples: Building Concentration — The skill of improving focus and concentration to sustain longer periods of reading.; Increasing Reading Time — The ability to gradually extend reading periods to build reading endurance.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Reading Habits,Integrating Reading into Daily Life,,Examples: Following a Reading Timetable — The ability to schedule regular reading sessions as part of a daily routine.; Reflective Reading — The practice of pausing during and after reading to reflect on the content and personal reactions to it.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Sustaining Motivation,Goal-linked Incentives,,Examples: Link Rewards to Goal Milestones — The ability to link meaningful incentives to goal milestones to sustain motivation.; Define Meaningful Rewards — The ability to define rewards that are personally meaningful.; Schedule Incentive Checkpoints — The ability to schedule checkpoints for earned incentives.
Active Self-Regulation,Motivation and Engagement,Reading Challenges and Goals,Sustaining Motivation,Incentive Creation,,Examples: Setting Reading Goals and Rewards — The skill of establishing specific reading targets and using rewards to maintain motivation.; Tracking Progress and Celebrating Achievements — The ability to monitor reading progress and celebrate milestones to stay motivated.
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Making Informed Choices,Exploring New Genres and Authors,,"Examples: Exploring New Genres and Authors — The ability to venture into new literary genres and discover works by different authors to diversify the reading experience.; List Genres to Sample — The ability to plan a sampling list of new genres/subgenres.; Track Newly Liked Authors — The ability to maintain a record of newly discovered, preferred authors."
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Making Informed Choices,Reflecting on Reading Preferences,,"Examples: Reflecting on Reading Preferences — The practice of analyzing and understanding one's reading preferences to guide future selections.; Record Preference Patterns — The ability to record patterns in preferred topics, styles, and formats.; Update Preference Profile — The ability to periodically update a personal preference profile."
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Managing Personal Reading Library,Cataloging Books,,"Examples: Cataloging Books — The practice of keeping a detailed record of books in a personal library, including read and unread titles, and adding notes or summaries.; Record Book Metadata — The ability to record title, author, genre, tags, and status.; Capture Notes and Summaries — The ability to capture brief notes/summaries for later retrieval."
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Managing Personal Reading Library,Organizing a Personal Library,,Examples: Organizing a Personal Library — The skill of arranging and maintaining a personal collection of books for easy access and retrieval.; Shelve by Genre/Series/Purpose — The ability to organize physical/digital shelves by useful categories.; Maintain a To‑Read Queue — The ability to maintain and reorder a prioritized to‑read list.
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Reader's Choice and Autonomy,Book Selection Skills,,Examples: Choosing Books Based on Interests — The ability to select books that align with personal interests and preferences.; Evaluating Book Difficulty — The skill of assessing the complexity of books to choose appropriate reading materials.; Using Book Recommendation Tools and Platforms — The ability to use digital tools and platforms to discover book recommendations tailored to individual tastes.
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Reader's Choice and Autonomy,Making Informed Choices,,Examples: Exploring New Genres and Authors — The ability to venture into new literary genres and discover works by different authors to diversify the reading experience.; Making Independent Reading Choices — The skill of selecting books independently based on personal criteria and preferences.; Reflecting on Reading Preferences — The practice of analyzing and understanding one's reading preferences to make informed choices and use these insights to guide future book selections.
Active Self-Regulation,Motivation and Engagement,Reading Interest-based Choice,Reader's Choice and Autonomy,Managing Personal Reading Library,,"Examples: Cataloging Books — The practice of keeping a detailed record of books in a personal library, including read and unread titles, and adding notes or summaries.; Organizing a Personal Library — The skill of arranging and maintaining a personal collection of books for easy access and retrieval."
Active Self-Regulation,Strategy Use,Decoding Unknown Words,Decoding Challenges,Morphological Analysis,,Examples: Analyzing Word Roots — Understanding the meaning of words through their roots.; Using Prefixes and Suffixes — Applying knowledge of prefixes and suffixes to decode unfamiliar words.
Active Self-Regulation,Strategy Use,Decoding Unknown Words,Decoding Challenges,Phonics Application,,Examples: Recognizing Phonemic Patterns — The practice of identifying common phonemic patterns in words to aid in decoding.; Sounding Out Words — Using phonetic knowledge to decode unfamiliar words.
Active Self-Regulation,Strategy Use,Decoding Unknown Words,Decoding Strategies,Sound Recognition,,Examples: Applying Phonetic Rules — Using phonetic rules to sound out and understand unfamiliar words.; Recognizing Common Sounds — The ability to identify and understand common sounds in words to facilitate decoding.
Active Self-Regulation,Strategy Use,Decoding Unknown Words,Decoding Strategies,Structural Analysis,,Examples: Breaking Down Complex Words — The practice of dividing complex words into smaller components to understand their meaning.; Understanding Affixes and Roots — The ability to decode words by understanding the role of affixes and roots in their structure.
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Accessibility Features,Assistive Technologies,,Examples: Use Text-to-Speech and Screen Readers — The ability to use text-to-speech and screen-reader features strategically to support comprehension.; Use TTS at Comprehension Rate — The ability to set TTS pace that preserves comprehension.; Use Screen Reader Navigation Shortcuts — The ability to navigate efficiently with screen‑reader shortcuts.
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Accessibility Features,Readability Settings,,"Examples: Adjust Font, Spacing, and Contrast — The ability to adjust font, spacing, and contrast to improve readability and reduce visual strain.; Customize Font Type/Size — The ability to choose readable font type/size for endurance.; Adjust Contrast/Theme — The ability to select contrast and theme (light/dark) for comfort."
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Annotation and Bookmarking,Highlighting and Notes,,"Examples: Highlighting and Notes — The ability to highlight key text and add margin notes efficiently in digital readers.; Use Color‑Coding Scheme — The ability to color‑code highlights by function (key idea, evidence, question).; Summarize Highlights into Notes — The ability to convert highlights into concise notes after reading."
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Annotation and Bookmarking,Managing Bookmarks,,"Examples: Managing Bookmarks — The ability to create, organize, and retrieve bookmarks to support navigation and study.; Tag Bookmarks by Topic — The ability to tag bookmarks with topical labels for retrieval.; Organize Bookmarks into Folders — The ability to organize bookmarks into folders/collections."
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Device Settings,Display Optimization,,"Examples: Optimize Display Parameters — The ability to optimize display parameters (brightness, theme) for comfort and endurance.; Set Brightness to Ambient — The ability to set screen brightness to ambient light.; Select Comfortable Line Length — The ability to select line length that reduces regressions."
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Device Settings,Interacting with Digital Texts,,Examples: Adjusting Reading Settings — The skill of customizing the reading experience on digital devices.; Adjust Line Length and Spacing — The ability to configure line length and spacing for readability.; Enable Reader/Focus View — The ability to enable reader/focus view to minimize on‑screen clutter.
Active Self-Regulation,Strategy Use,Digital Reading Strategies,Device Settings,Reader Modes and Themes,,Examples: Use Reader Mode/Dark Mode — The ability to use reader modes/themes to improve readability and focus.; Enable Reader Mode — The ability to enable reader mode to reduce clutter.; Select Theme for Context — The ability to select visual theme that best fits context.
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Distraction Control,Notification Management,,Examples: Disable Alerts and Notifications — The ability to preemptively silence or filter notifications and alerts during reading.; Configure Do Not Disturb — The ability to enable do‑not‑disturb during reading windows.; Whitelist Critical Alerts — The ability to whitelist only critical alerts.
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Distraction Control,Visual Field Management,,Examples: Reduce Visual Clutter — The ability to minimize visual distractions in the reading environment to support focus.; Clear Physical Workspace — The ability to clear the reading surface of distractors.; Hide Nonessential Apps and Tabs — The ability to close/hide apps/tabs not needed for the task.
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Environment Management,Noise and Distraction Control,,"Examples: Use Noise Management Strategies — The ability to control ambient noise (headphones, quiet zones) to sustain focus.; Use Headphones/Noise Masking — The ability to use headphones/noise masking tools appropriately.; Choose Quiet Zones — The ability to choose quiet zones or times for reading."
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Environment Management,Physical Setup,,Examples: Arranging a Conducive Reading Environment — The skill of setting up a comfortable reading environment conducive to focus.; Ensuring Proper Lighting — The ability to arrange adequate lighting to reduce eye strain and improve reading efficiency. Example: Using a desk lamp with a soft light that spreads evenly across the reading material.; Ergonomic Positioning — The knowledge of maintaining proper posture and positioning while reading to avoid physical strain. Example: Sitting in a chair with back support and keeping the book at eye level to reduce neck strain.
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Resource Preparation,Materials Readiness,,"Examples: Prepare Materials and Tools — The ability to prepare required materials (texts, notes, reference tools) before reading sessions.; Preload Reference Tabs — The ability to preload needed references in tabs/apps.; Prepare Note Templates — The ability to prepare note templates (Cornell/outline) before reading."
Active Self-Regulation,Strategy Use,Environment and Task Structuring,Resource Preparation,Task Segmentation,,Examples: Segment Tasks into Manageable Units — The ability to segment reading tasks into manageable units with clear checkpoints.; Chunk Text into Sections — The ability to chunk the text into manageable sections.; Set Checkpoints per Chunk — The ability to define brief checkpoints per chunk.
Active Self-Regulation,Strategy Use,Metacognitive Self-Monitoring,Adaptive Strategy Deployment,Dynamic Adjustment of Strategies,,"Examples: Adjusting Strategies for Text Complexity — The skill of adapting reading strategies according to the complexity and genre of the text. For example, employing more phonetic decoding for dense technical manuals and greater contextual inference for complex literary texts.; Switching Between Phonics and Semantic Cues — The ability to dynamically choose and switch between phonics-based and meaning-based cues based on reading needs and context. For instance, relying on phonics to decode unfamiliar words and using semantic context to understand them within sentences."
Active Self-Regulation,Strategy Use,Metacognitive Self-Monitoring,Adaptive Strategy Deployment,Strategy Integration,,"Examples: Blending Multiple Strategies in Real-time Reading — The skill of employing multiple reading strategies simultaneously for more effective real-time reading. For example, using phonological cues for decoding while leveraging semantic context to comprehend a scientific article.; Combining Phonics and Semantics in Decoding — The ability to integrate phonics and semantics seamlessly to decode and understand words. For example, decoding a word like 'reconstruction' using phonics while also understanding its meaning through root analysis."
Active Self-Regulation,Strategy Use,Metacognitive Self-Monitoring,Metacognitive Regulation,Monitoring and Self-correcting,,"Examples: Self-correcting Based on Semantic Feedback — The ability to detect and correct errors during reading by using semantic feedback. For example, recognizing that 'bow' should be /bo?/ (gesture) instead of /ba?/ (curve) based on contextual clues.; Self-monitoring for Accuracy in Reading — The skill of self-monitoring decoding accuracy by cross-checking it with semantic meaning. For instance, recognizing an error when the initial decoding of 'produce' (/pr??dju?s/) doesn't match the context, indicating the noun form (/?pr?dju:s/)."
Active Self-Regulation,Strategy Use,Metacognitive Self-Monitoring,Metacognitive Regulation,Reflecting on Strategy Effectiveness,,"Examples: Adapting Future Strategy Use Based on Reflection — The ability to adjust future reading strategies based on reflections of past effectiveness. For example, planning to use more semantic strategies in future readings of complex narratives after realizing it aids comprehension.; Evaluating Phonics and Semantic Strategies Used — The skill of reflecting on the effectiveness of the phonics and semantic strategies employed during reading. For instance, analyzing whether focusing more on phonics or contextual clues led to better comprehension of a text."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Comprehension Monitoring,Collaborative Monitoring,,Examples: Engaging in Peer Discussions — The ability to discuss the text with peers to clarify understanding and gain different perspectives.; Sharing and Comparing Annotations — The practice of exchanging notes and annotations with others to gain a deeper understanding of the text.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Comprehension Monitoring,Leveraging Digital Tools,,Examples: Engaging with Interactive Platforms — The practice of using online platforms for interactive and engaging learning experiences related to the text.; Using Annotation Apps — Utilizing digital tools to annotate and organize thoughts.; Utilizing Digital Summarization Tools — The ability to use digital tools to create summaries of the text.; Watching Online Tutorials — The ability to use online tutorials to gain additional insights and explanations related to the text.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Comprehension Monitoring,Re-reading and Reviewing,,"Examples: Identifying Key Passages — Recognizing important sections of the text that require further review for better comprehension.; Taking Notes During Re-reads — The ability to document new information and insights gained during re-reading to reinforce understanding.; Using Multiple Readings — The practice of reading the text several times to enhance understanding, especially with complex material."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Comprehension Monitoring,Self-Assessment Techniques,,Examples: Reflecting on Reading Sessions — Reviewing reading experiences to identify areas needing improvement.; Using Comprehension Quizzes — The practice of taking quizzes and tests to self-assess understanding of the text.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Applying Learned Knowledge,,"Examples: Applying Knowledge to Real Life — The skill of using insights and knowledge from the text in practical, real-world contexts.; Relating Text to Other Information — The ability to connect new information from the text to existing knowledge."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Discussion and Peer Collaboration,,Examples: Gaining Different Perspectives — Engaging in discussions to gain various interpretations and insights from peers.; Participating in Group Discussions — The skill of participating in group discussions to explore different viewpoints and ideas.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Evaluation and Assessment,,Examples: Self-Evaluating Understanding — The practice of assessing one's own comprehension and grasp of the text.; Using Rubrics and Checklists — The ability to use structured tools to systematically evaluate understanding.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Reflective Thinking,,"Examples: Identifying Emotional Reactions — The skill of recognizing personal responses to the text, such as noting feelings of surprise or learning insights.; Reflecting on Main Ideas — The practice of considering the key themes and messages after reading."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Retelling and Re-reading,,Examples: Re-reading Sections — The practice of revisiting challenging parts of the text to improve understanding.; Retelling the Text — The skill of summarizing and explaining the text to another person for better comprehension.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Post-Reading Strategies,Summarizing and Paraphrasing,,"Examples: Creating Abstracts — The practice of writing brief, focused summaries of longer texts.; Paraphrasing Key Points — The skill of rephrasing important information in one’s own words to ensure understanding and retention.; Writing Detailed Summaries — The ability to create comprehensive summaries that capture the main points of the text."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Activating Prior Knowledge,,Examples: Discussing Known Topics — The ability to engage in discussions about prior knowledge related to the text.; Relating Texts to Personal Experiences — The practice of connecting new information to personal knowledge and experiences.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Analyzing Text Structure,,"Examples: Predicting Content — The ability to make informed predictions about the content based on headings and subheadings.; Skimming Structural Elements — The use of titles, headings, and subheadings to understand the organization and main points of the text.; Understanding Text Structure — The skill of recognizing how a text is structured to enhance comprehension."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Examining Visual Aids,,"Examples: Connecting Visuals to Content — The ability to relate visual aids to the main text to enhance comprehension.; Interpreting Visual Elements — The skill of understanding and analyzing visual elements such as charts, graphs, and images."
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Pre-Discussion Techniques,,Examples: Brainstorming Topics — The practice of generating ideas related to the text before reading.; Collaborating with Peers — The ability to work with peers to brainstorm and discuss ideas related to the text.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Previewing the Text,,Examples: Identifying Key Sections — The ability to recognize important parts of the text to focus on during reading.; Skimming the Text — The skill of quickly reading through the text to get a general sense of content.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Setting Reading Purposes,,Examples: Determining Purposes — The skill of identifying specific objectives for reading a text.; Formulating Questions — The ability to create questions that guide the reading process.
Active Self-Regulation,Strategy Use,Reading Comprehension Strategies,Pre-Reading Strategies,Using Graphic Organizers,,"Examples: Completing K-W-L Charts — The skill of using K-W-L (Know, Want to know, Learned) charts to organize existing knowledge and learning goals.; Creating Concept Maps — The ability to visually organize concepts and ideas using graphic organizers.; Updating K-W-L Charts — The practice of revising and completing K-W-L charts based on new information gained from reading."
