CHAIN_ID,CONCEPT_NAME,CHAIN_LENGTH,GRADE_RANGE,AUTHORITY,EXAMPLE_SKILL_ID,EXAMPLE_SKILL_NAME
SB-0170,provide a concluding statement or section in fifth-grade informative writing,4,5-8,Pennsylvania Core Standards for English Language Arts,7d178c90-7258-49aa-975a-238e38ceecfb,Provide a concluding statement or section in fifth-grade informative writing
SB-0122,"ask and answer questions to clarify the meanings of words when listening to literary texts, and appl",3,K-1,Unknown,6a10f61e-e69f-e311-9503-005056801da1,"Ask and answer questions to clarify the meanings of words when listening to literary texts, and apply foundational skills and strategies when encounte"
SB-0134,"identify and use homographs/multiple-meaning words (e.g., <i>amo</i> (verb) and <i>amo</i> (owner) a",3,2-3,Illinois Learning Standards for Spanish Language Arts,64d02960-1112-47a6-b174-aac028848b51,"Identify and use homographs/multiple-meaning words (e.g., <i>amo</i> (verb) and <i>amo</i> (owner) and determine their meanings in grade-appropriate t"
SB-0144,regularly engage in independent and group reading of increasingly complex related texts on topics of,3,10-12,Minnesota K-12 Academic Standards in English Language Arts,61da0a5d-1f65-41f7-af2d-c04158189a5e,"Regularly engage in independent and group reading of increasingly complex related texts on topics of study, expanding vocabulary and knowledge to be u"
SB-0109,describe how the structural elements of a story contribute to its meaning in a fourth-grade literary,3,4-5,Unknown,b82473dc-0414-4949-820b-ebf9871b13e2,Describe how the structural elements of a story contribute to its meaning in a fourth-grade literary text
SB-0104,"accurately read unfamiliar appropriate multisyllabic words in isolation, using knowledge of word mor",3,4-5,Unknown,ef0ff61e-e69f-e311-9503-005056801da1,"Accurately read unfamiliar grade-appropriate multisyllabic words in isolation, using knowledge of word morphology (e.g., autograph, construction)"
SB-0101,"recognize and understand appropriate contractions (e.g., i'm, isn't)",3,1-3,Unknown,9d460a45-06ce-44da-87d6-fcf672f03801,"Recognize and understand grade-appropriate contractions (e.g., I'm, isn't)"
SB-0172,use coordinating conjunctions,3,3-4,Pennsylvania Core Standards for English Language Arts,0de1cd87-1b90-4c62-b460-9c4c73e05f60,Use coordinating conjunctions
SB-0152,apply knowledge of parts of speech to determine the meanings of words and phrases in appropriate tex,3,6-8,Georgia K-12 English Language Arts Standards,8149f26f-f8a0-4c18-a397-f057fa5d5a8b,"Apply knowledge of parts of speech to determine the meanings of words and phrases in grade-appropriate texts (e.g., understand a word is a descriptive"
SB-0155,use linking words and phrases to connect opinions and reasons in third-grade argumentative writing,3,3-5,Pennsylvania Core Standards for English Language Arts,c41b3bb4-d94c-451f-9c12-346f67dc91de,Use linking words and phrases to connect opinions and reasons in third-grade argumentative writing
SB-0095,"spell single-syllable words with vowel teams, including digraphs and diphthongs (e.g., soap, meat, t",3,2-5,Unknown,ec83beca-dd30-4d3f-8b67-2eecace2c74d,"Spell single-syllable words with vowel teams, including digraphs and diphthongs (e.g., soap, meat, toy)"
SB-0158,provide an introductory paragraph that provides relevant context to the argument in fifth-grade argu,3,5-6,Pennsylvania Core Standards for English Language Arts,704bfc6c-6b95-496e-8e25-25c618cdc268,Provide an introductory paragraph that provides relevant context to the argument in fifth-grade argumentative writing
SB-0068,identify the cultural perspective reflected in a work of literature from outside the united states,3,9-10,Unknown,a710f61e-e69f-e311-9503-005056801da1,Identify the cultural perspective reflected in a work of literature from outside the United States
SB-0161,establish and maintain a formal style in seventh-grade argumentative writing,3,7-8,Pennsylvania Core Standards for English Language Arts,d22d6ef4-806e-4ad1-a6ba-2b91f3d4956b,Establish and maintain a formal style in seventh-grade argumentative writing
SB-0174,capitalize dates,3,1-2,Pennsylvania Core Standards for English Language Arts,09acb3d5-27c6-40b1-ad99-cdb1d64ab81a,Capitalize dates
SB-0165,identify the performance task of a second-grade argumentative writing prompt,3,2-5,Pennsylvania Core Standards for English Language Arts,17d19019-cb20-43f4-93fb-16d1fa694b2c,Identify the performance task of a second-grade argumentative writing prompt
SB-0113,accurately read unfamiliar appropriate multisyllabic words in isolation using knowledge of all lette,3,4-5,Unknown,ed0ff61e-e69f-e311-9503-005056801da1,"Accurately read unfamiliar grade-appropriate multisyllabic words in isolation using knowledge of all letter-sound correspondences (e.g., other, beagle"
SB-0053,"read level high-frequency words with automaticity (e.g., complete, notice, travel)",3,3-5,Unknown,a6453225-39f8-4847-8df2-52f4b86c0a7f,"Read grade-level high-frequency words with automaticity (e.g., complete, notice, travel)"
SB-0195,use reflexive pronouns,3,2-6,Pennsylvania Core Standards for English Language Arts,a601a2c8-5f69-467d-98be-a21d52edebd2,Use reflexive pronouns
SB-0004,analyze informational texts on topics related to diverse cultures and viewpoints,3,9-11,Unknown,585f73bc-70bc-4955-9c9c-f59ade0ae2b3,Analyze informational texts on topics related to diverse cultures and viewpoints
SB-0005,compare and contrast the most important points presented in informational texts on the same topic,3,2-4,Unknown,d911f61e-e69f-e311-9503-005056801da1,Compare and contrast the most important points presented in informational texts on the same topic
SB-0218,"spell appropriate words with double-letter endings (e.g., pass, full)",3,1-4,Hawai'i Common Core Standards for English Language Arts,1bc2d44d-79b2-4d71-a647-f5d4bba6e75a,"Spell grade-appropriate words with double-letter endings (e.g., pass, full)"
SB-0013,support claims with logical reasoning in seventh-grade argumentative writing,3,7-8,Unknown,e4c377d0-31e6-42c0-a007-4d57612a2f4c,Support claims with logical reasoning in seventh-grade argumentative writing
SB-0189,organize an event sequence logically in third-grade narrative writing,3,3-5,Pennsylvania Core Standards for English Language Arts,4deafde7-00eb-4e99-a079-52602e61d33c,Organize an event sequence logically in third-grade narrative writing
SB-0018,distinguish between print and pictures,3,K-7,Unknown,1ea10be3-5322-479a-905a-26b536ec6c58,Distinguish between print and pictures
SB-0209,"read a wide range of nonfiction, with a wide coverage of topics, historical periods, forms, and auth",3,6-8,Hawai'i Common Core Standards for English Language Arts,5b40c225-3800-e411-9e54-005056801da1,"Read a wide range of nonfiction, with a wide coverage of topics, historical periods, forms, and authors, including high-quality works (e.g., biographi"
SB-0205,introduce the topic of a text in argumentative writing,3,K-1,Hawai'i Common Core Standards for English Language Arts,dadb0b37-b1f1-4c0c-815e-d8a02e32a34d,Introduce the topic of a text in Kindergarten argumentative writing
SB-0031,"use sentence-level context clues (e.g., embedded word definitions, restatement) to determine or clar",3,3-5,Unknown,6a12f61e-e69f-e311-9503-005056801da1,"Use sentence-level context clues (e.g., embedded word definitions, restatement) to determine or clarify the meanings of general academic and content-a"
SB-0127,"use knowledge of a variety of word relationships (e.g., synonyms, antonyms; superordinate and subord",3,10-12,Unknown,b012f61e-e69f-e311-9503-005056801da1,"Use knowledge of a variety of word relationships (e.g., synonyms, antonyms; superordinate and subordinate) in analogies in order to infer the meanings"
SB-0042,"understand the meanings of idioms (e.g., come out in the wash) in appropriate prose and poetry and a",3,10-12,Unknown,e6314c9c-a69f-e311-9503-005056801da1,"Understand the meanings of idioms (e.g., come out in the wash) in grade-appropriate prose and poetry and analyze an author's use of idiomatic expressi"
SB-0051,"read level irregularly spelled sight words automatically (e.g., certain, notice)",3,3-5,Unknown,e90ff61e-e69f-e311-9503-005056801da1,"Read grade-level irregularly spelled sight words automatically (e.g., certain, notice)"
SB-0194,use temporal words to signal the order of events in first-grade narrative writing,3,1-3,Pennsylvania Core Standards for English Language Arts,c1d97f7b-684f-4921-91f3-9f7ff30279f4,Use temporal words to signal the order of events in first-grade narrative writing
SB-0178,develop a topic by using credible supporting evidence in seventh-grade informative writing,2,7-8,Pennsylvania Core Standards for English Language Arts,268fe892-a52f-4245-98e2-bb9a4c782628,Develop a topic by using credible supporting evidence in seventh-grade informative writing
SB-0185,use linking words and phrases to connect ideas within categories of information in fourth-grade info,2,4-5,Pennsylvania Core Standards for English Language Arts,76dd7fb0-4894-44d8-a5a2-7582e06c314e,Use linking words and phrases to connect ideas within categories of information in fourth-grade informative writing
SB-0184,use precise language and domain-specific vocabulary in seventh-grade informative writing,2,7-8,Pennsylvania Core Standards for English Language Arts,0da21023-5b65-4563-affe-febd7ebf44fc,Use precise language and domain-specific vocabulary in seventh-grade informative writing
SB-0220,explain the function of interjections in a sentence,2,5-6,Oklahoma Academic Standards for English Language Arts,18f92508-6a5d-4e7a-ab0a-ad13778824ed,Explain the function of interjections in a sentence
SB-0151,determine how texts from various academic disciplines organize information and treat domain-specific,2,7-8,Georgia K-12 English Language Arts Standards,89086154-a011-4879-a7d0-a4e4a4964fec,Determine how texts from various academic disciplines organize information and treat domain-specific vocabulary
SB-0150,analyze how the author’s use of sentence structure and syntax affects the target audience and suppor,2,10-11,Georgia K-12 English Language Arts Standards,fb3d286b-c50c-4ef2-ad99-8b9a015a64ae,Analyze how the author’s use of sentence structure and syntax affects the target audience and supports the text’s purpose
SB-0221,recognize and correct inappropriate shifts in pronoun number and person,2,6-8,Oklahoma Academic Standards for English Language Arts,edc3ea55-7f9a-45d4-9d63-e487f1443b78,Recognize and correct inappropriate shifts in pronoun number and person
SB-0149,"spell appropriate multisyllabic words with multiple sound-spelling patterns (e.g., behave, unlock, n",2,2-3,Indiana Academic Standards for English/Language Arts,03b4fd0e-58a0-48a5-b317-bcce99c9926b,"Spell grade-appropriate multisyllabic words with multiple sound-spelling patterns (e.g., behave, unlock, number)"
SB-0148,listen to a wide range of contemporary and classic poetry and stories that are at a level beyond whi,2,1-2,North Dakota English Language Arts Content Standards,f43fc225-3800-e411-9e54-005056801da1,"Listen to a wide range of contemporary and classic poetry and stories that are at a level beyond which could be read independently (e.g., chapter book"
SB-0147,listen to and comprehend a wide range of appropriate nonfiction and literary text as well as texts t,2,4-5,North Dakota English Language Arts Content Standards,42ba593d-0738-410f-acb7-d618fb272a73,Listen to and comprehend a wide range of grade-appropriate nonfiction and literary text as well as texts that are at a level beyond which could be rea
SB-0146,"listen to a wide range of nonfiction, including reference books and textbooks, that is at a level be",2,2-3,North Dakota English Language Arts Content Standards,f63fc225-3800-e411-9e54-005056801da1,"Listen to a wide range of nonfiction, including reference books and textbooks, that is at a level beyond which could be read independently"
SB-0222,"revise third-grade writing for errors of punctuation, spelling, capitalization, or grammar",2,3-5,Oklahoma Academic Standards for English Language Arts,280e2b4b-738c-4652-920d-7c179e45cd66,"Revise third-grade writing for errors of punctuation, spelling, capitalization, or grammar"
SB-0145,"analyze how authors from various contexts (e.g., diverse, intersectional, multicultural) use their o",2,11-12,North Dakota English Language Arts Content Standards,9e17f254-50be-421e-9c40-5804aacdc12b,"Analyze how authors from various contexts (e.g., diverse, intersectional, multicultural) use their own perspective and purpose to shape various texts "
SB-0143,"use appropriate general academic and content-area vocabulary correctly in context, expanding vocabul",2,7-8,Illinois Learning Standards for Spanish Language Arts,ee7b9822-bfc2-4426-a2ab-1ebd5f0d0057,"Use grade-appropriate general academic and content-area vocabulary correctly in context, expanding vocabulary to include words or phrases of particula"
SB-0154,"read a wide variety of complex appropriate text aloud with accuracy, automaticity, and full comprehe",2,11-12,English Standards of Learning for Virginia Public Schools,78624c0a-7fda-4a65-acfa-25f5c082a353,"Read a wide variety of complex grade-appropriate text aloud with accuracy, automaticity, and full comprehension, automatically adjusting reading rate,"
SB-0142,analyze and explain the importance of subtle differences in meaning between appropriate synonyms (e.,2,9-10,Illinois Learning Standards for Spanish Language Arts,6cbcc385-245d-4563-a772-5e9f329063e6,"Analyze and explain the importance of subtle differences in meaning between grade-appropriate synonyms (e.g., réplica y reproducción) in context"
SB-0141,count the number of syllables in fourth-grade level words,2,4-5,Illinois Learning Standards for Spanish Language Arts,bb5fca20-e6a8-4711-8897-baf88e1594ff,Count the number of syllables in fourth-grade level words
SB-0140,accurately read unfamiliar appropriate multisyllabic words in isolation using knowledge of all lette,2,4-5,Illinois Learning Standards for Spanish Language Arts,7149b9e0-6b30-4309-8cee-8800f1200b3b,"Accurately read unfamiliar grade-appropriate multisyllabic words in isolation using knowledge of all letter-sound correspondences (e.g., septiembre, l"
SB-0139,accurately read unfamiliar appropriate multisyllabic words in context using knowledge of all letter-,2,4-5,Illinois Learning Standards for Spanish Language Arts,466419fc-94ad-45c8-b47f-37ab8bc2b7a1,"Accurately read unfamiliar grade-appropriate multisyllabic words in context using knowledge of all letter-sound correspondences (e.g., El <i>dinosauri"
SB-0138,"correctly place the written accent on the vowel on which the tonic accent falls in hiatus (e.g., <i>",2,4-5,Illinois Learning Standards for Spanish Language Arts,bf1f9892-f3c3-4bc9-be6f-0bec161de581,"Correctly place the written accent on the vowel on which the tonic accent falls in hiatus (e.g., <i>hacía, baúl, raíz</i>)"
SB-0137,demonstrate and apply spelling knowledge by marking accents appropriately when conjugating three app,2,3-5,Illinois Learning Standards for Spanish Language Arts,d684fcf4-0745-4cef-98a5-503d0840552d,"Demonstrate and apply spelling knowledge by marking accents appropriately when conjugating grade-three appropriate verbs (e.g., simple and imperfect p"
SB-0136,demonstrate and apply spelling knowledge by spelling <i>palabras esdrújulas</i> (words with the stre,2,3-5,Illinois Learning Standards for Spanish Language Arts,72272d29-9b51-4b4a-836e-26f3c51a768a,Demonstrate and apply spelling knowledge by spelling <i>palabras esdrújulas</i> (words with the stress on the antepenultimate syllable) that always ha
SB-0135,"recognize that a written accent (spelling accent) is a mark, called a tilde, placed above a vowel, a",2,K-1,Illinois Learning Standards for Spanish Language Arts,f8ae63ab-787d-425b-b021-d223f0157bbc,"Recognize that a written accent (spelling accent) is a mark, called a tilde, placed above a vowel, and that the marked syllable is emphasized in pronu"
SB-0223,"decode and encode appropriate words with special letter combinations (e.g., <i>q</i> is always used ",2,K-1,South Carolina College- and Career-Ready Standards English Language Arts,887b50f1-5d04-40da-831a-d4c3871b0451,"Decode and encode grade-appropriate words with special letter combinations (e.g., <i>q</i> is always used with <i>u</i>)"
SB-0133,"determine the meanings of homophones (e.g., hola and ola) in appropriate texts using sentence contex",2,1-2,Illinois Learning Standards for Spanish Language Arts,07ea9a65-8a2e-4af9-a396-abe370a103f7,"Determine the meanings of homophones (e.g., hola and ola) in grade-appropriate texts using sentence context or prior knowledge of spellings"
SB-0132,recognize and read grade level words with relatively complex spellings such as <i>h</i> which is alw,2,1-2,Illinois Learning Standards for Spanish Language Arts,e7ee7643-969d-49f0-9f34-a1979cfd67f8,Recognize and read grade level words with relatively complex spellings such as <i>h</i> which is always silent except in the digraph <i>ch</i>; or the
SB-0131,"use context to confirm or autocorrect recognition and comprehension of words, rereading as necessary",2,4-5,Illinois Learning Standards for Spanish Language Arts,7fd62b4c-44ff-44ee-81e5-0a4711df30dc,"Use context to confirm or autocorrect recognition and comprehension of words, rereading as necessary"
SB-0130,"distinguish between the connotations of words with similar denotations (e.g., cansado/agotado; hambr",2,6-8,Illinois Learning Standards for Spanish Language Arts,27ffd147-ffe3-4d2f-9824-69e4fa45e16c,"Distinguish between the connotations of words with similar denotations (e.g., cansado/agotado; hambriento/famélico)"
SB-0153,determine the meanings of words and phrases in appropriate texts by analyzing the impact of parts of,2,9-10,Georgia K-12 English Language Arts Standards,cdcae779-d0b9-430e-95d9-1376ce754ad5,"Determine the meanings of words and phrases in grade-appropriate texts by analyzing the impact of parts of speech (e.g., interpret the precise meaning"
SB-0217,"spell level high-frequency words with automaticity and accuracy (e.g., fact, language, whether)",2,4-5,Hawai'i Common Core Standards for English Language Arts,46fcbfe9-ca3e-4cbd-99e6-4142078ca4d2,"Spell grade-level high-frequency words with automaticity and accuracy (e.g., fact, language, whether)"
SB-0177,"organize ideas, concepts, and information using strategies in seventh-grade informative writing (e.g",2,7-8,Pennsylvania Core Standards for English Language Arts,12a66270-2761-46ba-b3fb-b90686a947a5,"Organize ideas, concepts, and information using strategies in seventh-grade informative writing (e.g., definition, classification, comparison/contrast"
SB-0167,"use words, phrases, and clauses to create cohesion and clarity in seventh-grade argumentative writin",2,7-8,Pennsylvania Core Standards for English Language Arts,79c7e96d-1a50-4e4f-b848-11f573f1a7d6,"Use words, phrases, and clauses to create cohesion and clarity in seventh-grade argumentative writing"
SB-0179,use appropriate transitions to create cohesion and clarity in seventh-grade informative writing,2,7-8,Pennsylvania Core Standards for English Language Arts,5a6555b2-1a2f-4a80-a64f-70323461e73c,Use appropriate transitions to create cohesion and clarity in seventh-grade informative writing
SB-0196,conjugate frequently occurring verbs correctly,2,K-1,Pennsylvania Core Standards for English Language Arts,f09f6cd1-cbc5-4331-bb7f-c3415762414e,Conjugate frequently occurring verbs correctly
SB-0175,use formal style in sixth-grade informative writing,2,6-8,Pennsylvania Core Standards for English Language Arts,40db83b4-45ad-46bb-8ba6-eca5fc0df0d1,Use formal style in sixth-grade informative writing
SB-0197,produce complete simple sentences,2,K-1,Pennsylvania Core Standards for English Language Arts,9ef257fa-13d9-407d-b716-dd4524505349,Produce complete simple sentences
SB-0198,identify and produce complete compound sentences,2,1-3,Pennsylvania Core Standards for English Language Arts,e1433eb6-8c9b-44ab-be42-127655f98036,Identify and produce complete compound sentences
SB-0173,use apostrophes to form frequently occurring possessives,2,2-3,Pennsylvania Core Standards for English Language Arts,5c3e38a3-f80f-4ca2-94a9-2da63c52c64d,Use apostrophes to form frequently occurring possessives
SB-0199,produce complete compound exclamatory sentences,2,1-2,Pennsylvania Core Standards for English Language Arts,52fd32c7-83fb-4bef-83d8-907f9d3e1e32,Produce complete compound exclamatory sentences
SB-0129,combine a vowel and a consonant sound to produce a cv syllable,2,PK-K,Illinois Learning Standards for Spanish Language Arts,c02f8c75-2db2-4d67-aca3-3b4439207812,Combine a vowel and a consonant sound to produce a CV syllable
SB-0171,use commas in dates,2,1-3,Pennsylvania Core Standards for English Language Arts,4a6e4a83-6437-4f99-8ac1-4cba341ebdd5,Use commas in dates
SB-0202,use guidance and feedback to improve writing,2,K-1,Pennsylvania Core Standards for English Language Arts,34e45703-fc08-4062-990d-38789b012529,Use guidance and feedback to improve Kindergarten writing
SB-0169,support a topic with concluding statements or sections related to the information presented in fourt,2,4-5,Pennsylvania Core Standards for English Language Arts,cfa9c50d-f161-4524-bf07-78446e7fcb22,Support a topic with concluding statements or sections related to the information presented in fourth-grade informative writing
SB-0168,develop reasoning by including related facts and details in fourth-grade argumentative writing,2,4-5,Pennsylvania Core Standards for English Language Arts,9981366a-26e2-445c-b3f1-22cb901d29ca,Develop reasoning by including related facts and details in fourth-grade argumentative writing
SB-0166,acknowledge alternate or opposing claims in seventh-grade argumentative writing,2,7-8,Pennsylvania Core Standards for English Language Arts,b2d9e32e-7216-4eeb-a8c8-a51d74c220d9,Acknowledge alternate or opposing claims in seventh-grade argumentative writing
SB-0216,"delete individual sounds in simple, one-syllable words to make new words (e.g., delete the /h/ from ",2,K-1,Hawai'i Common Core Standards for English Language Arts,8d18dc53-a532-401d-aa92-915f59039c82,"Delete individual sounds in simple, one-syllable words to make new words (e.g., delete the /h/ from <i>hair</i> to make <i>air</i>)"
SB-0204,strengthen third-grade writing by revising simple sentences into more complex sentences,2,3-4,Pennsylvania Core Standards for English Language Arts,2d54c93c-b03b-4922-9c1a-e4256bff56b5,Strengthen third-grade writing by revising simple sentences into more complex sentences
SB-0180,develop a topic by including supporting facts and definitions in second-grade informative writing,2,2-7,Pennsylvania Core Standards for English Language Arts,a5d0122e-b413-4413-82e7-bd45c229db95,Develop a topic by including supporting facts and definitions in second-grade informative writing
SB-0206,"continue to read a wide range of fiction, poetry, and plays",2,4-5,Hawai'i Common Core Standards for English Language Arts,2b3ec225-3800-e411-9e54-005056801da1,"Continue to read a wide range of fiction, poetry, and plays"
SB-0207,"read a wide range of fiction, in particular whole books (e.g., <i>lord of the flies</i>), short stor",2,7-8,Hawai'i Common Core Standards for English Language Arts,5940c225-3800-e411-9e54-005056801da1,"Read a wide range of fiction, in particular whole books (e.g., <i>Lord of the Flies</i>), short stories, poems, and plays with a wide coverage of genr"
SB-0160,support an opinion with reasons in second-grade argumentative writing,2,2-3,Pennsylvania Core Standards for English Language Arts,948194c1-4628-48c6-9c9d-b747fe1c8ff8,Support an opinion with reasons in second-grade argumentative writing
SB-0210,"become familiar with an increasing range of stories, fairy tales, myths, and legends",2,2-4,Hawai'i Common Core Standards for English Language Arts,993dc225-3800-e411-9e54-005056801da1,"Become familiar with an increasing range of stories, fairy tales, myths, and legends"
